|neg|pos
320|['specific', 'first', 'sometimes', 'difficultly', 'back', 'different']|['great', 'really', 'good', 'well', 'also', 'interesting']
321|['sometimes', 'broad', 'result', 'good', 'material', 'still']|"['really', 'great', 'well', 'knowledgeable', ""'Eric"", 'good']"
324|['new', 'understanding', 'away', 'insight', 'still', 'didnt']|['much', 'good', 'able', 'long', 'creative', 'well']
325|['much', 'rather', 'little', 'always', 'sometimes', 'serious']|['really', 'knowledgeable', 'helpful', 'also', 'enthusiastic', 'subject']
328|['difficult', 'sometimes', 'hard', 'really', 'clear', 'often']|['really', 'great', 'also', 'always', 'enthusiastic', 'good']
330|['bad', 'hard', 'worst', 'critical', 'extremely', 'often']|['knowledgeable', 'good', 'also', 'great', 'clear', 'really']
331|[]|['good', 'friendly', 'really', 'helpful', 'energeticBrought', 'extremely']
333|[]|['great', 'really', 'whole', 'serious', 'better', 'tried']
336|['really', 'good', 'bad', 'sometimes', 'little', 'leave']|['new', 'always', 'apparent', 'strong', 'open', '[']
338|['worst', 'great', 'really', 'much', 'usually', 'didnt']|"['clearly', ""'Trish"", 'knowledgeable', 'really', 'clear', 'interesting']"
340|['weak', 'little', 'always', 'know', 'topic', 'follow']|"['subject', 'knowledgeable', 'best', 'really', 'excellent', ""'Evident""]"
343|['sometimes', 'much', 'difficult', 'never', 'really', 'often']|"['great', 'knowledgeable', 'really', 'interesting', ""'Kelly"", 'good']"
345|['sometimes', 'little', 'really', 'fix', 'first', 'equally']|['really', 'knowledgeable', 'sometimes', 'high', 'interesting', 'better']
347|['important', 'attentive', 'many', 'also', 'full', '[']|['really', 'helpful', 'great', 'able', 'wonderful', 'ready']
348|['incredibly', 'havent', 'rather', 'unhelpful.Matthew', 'long', 'gotten']|['really', 'little', 'great', 'also', 'clearly', 'well']
349|['really', 'difficult', 'well', 'rather', 'bit', 'worst']|['knowledgeable', 'good', 'sometimes', 'well', 'clear', 'great']
350|['also', 'sometimes', 'hard', 'connect', 'harsh', 'often']|['great', 'helpful', 'really', 'enthusiastic', 'extremely', 'outside']
351|['much', 'difficult', 'sometimes', 'often', 'clear', 'little']|['well', 'really', 'great', 'also', 'knowledgeable', 'good']
353|['inserted', 'serious']|['subject', 'good', 'knowledgeable', 'different', 'informative', 'approachable']
354|['sometimes', 'difficult', 'hard', 'extremely', 'follow', 'easy']|['knowledgeable', 'much', 'interesting', 'clearly', 'clear', 'also']
355|['sometimes', 'really', 'best', 'facilitating', 'let', 'however']|['great', 'good', 'also', 'really', 'knowledgeable', 'sometimes']
357|['difficult', 'extremely', 'come', 'really', 'hostile', 'critical']|['great', 'really', 'interesting', 'even', 'extremely', 'able']
359|"['ran', 'never', ""'Student"", '[']"|['sometimes', 'regard', 'short', 'political', 'sweetest', 'often']
360|['sometimes', 'repetitive', 'musical', 'probably', 'wasnt', 'attend']|['good', 'knowledgeable', 'subject', 'enthusiastic', 'really', 'well']
365|['didnt', 'repetitive', 'subject', 'however', 'unproductive', 'less']|"['also', 'good', ""'Mary"", 'great', 'helpful', 'approachable']"
367|['none', 'far']|['really', 'great', 'good', 'extremely', 'sure', 'helpful']
368|['sometimes', 'good', 'bad', 'Sometimes', 'material', 'overall']|['sometimes', 'interesting', 'great', 'clearly', 'personable', 'theoretical']
369|['whole', 'unintuitive', 'individual', 'difficult', 'sometimes', 'half']|['knowledgeable', 'expect', 'good', 'different', 'also', 'personal']
374|['sometimes', 'already', 'unnecessary', 'especially', 'frustrating', 'vague']|"['approachable', 'interesting', 'knowledgeable', 'easy', 'maybe', ""'Kathleen""]"
376|['quickly', 'instead', 'good', 'undergraduates', 'short', 'often']|['knowledgeable', 'great', 'extremely', 'approachable', 'helpful', 'subject']
377|['difficult', 'much', 'really', 'interesting', 'weak', 'totally']|['really', 'great', 'also', 'always', 'good', 'interesting']
