|neg|pos
425|['really', 'often', 'interesting', 'rarely', 'negative', 'allow']|['always', 'extremely', 'well', 'subject', 'good', 'also']
426|['sometimes', 'always', 'good', 'overall', 'drag', 'much']|"['helpful', 'inclass', 'prone', 'tremendously', ""'Definitely"", 'friendly']"
428|['formulaic', 'really', 'facilitate', 'approachable', 'quiet', 'discuss']|['really', 'great', 'well', 'knowledgeable', 'also', 'often']
429|['also', 'really', 'difficult', 'always', 'especially', 'historical']|['great', 'really', 'also', 'enthusiastic', 'always', 'knowledgeable']
430|[]|['good', 'interesting', 'also', 'approachable', 'really', 'fully']
431|['instead', 'organize', 'good', '[', 'bad', 'hard']|['great', 'really', 'enthusiastic', 'interesting', 'actually', 'outside']
433|['follow', 'difficult', '[', 'simply']|['also', 'excellent', 'successful', 'overall', 'professor', 'present']
434|"['difficult', 'sometimes', 'often', 'hard', 'really', ""'Unfortunately""]"|['knowledgeable', 'really', 'great', 'always', 'good', 'well']
435|['necessary', 'rigorous', 'great', 'also', 'promptly', 'clear']|['also', 'helpful', 'interested', 'genuinely', 'understanding', 'optimistic']
442|[]|['good', 'thoughtful', 'Very', 'willing', 'outside', 'helpful']
443|[]|['interesting', 'highly', 'intelligent', 'coherent', 'sure', 'unexplained']
444|['often', 'new', 'sometimes', 'greatly', 'different', 'even']|['really', 'knowledgeable', 'always', 'incredibly', 'good', 'helpful']
448|['big', 'little', 'bit', 'difficult', 'lost', 'hard']|['great', 'really', 'well', 'interesting', 'clear', 'knowledgeable']
449|['brought', 'clear']|['long', 'liked', 'really', 'knowledgeable', 'interesting', 'thoughtful']
451|['sometimes', 'good', 'bit', 'fantastic', 'hermeneutical', 'much']|['really', 'great', 'also', 'always', 'approachable', 'good']
453|[]|['enthusiastic', 'great', 'new', 'really']
455|[]|['sometimes', 'always', 'really', 'prepared', 'long', 'great']
456|['sometimes', 'difficult', 'much', 'sure', 'never', 'hard']|['really', 'great', 'good', 'knowledgeable', 'sometimes', 'helpful']
457|['last', 'often', '[', 'late', 'entirely']|['little', 'still', 'new', 'unpretentious', 'bit', 'first']
460|['sometimes', 'really', 'much', 'far', 'digress', 'wasnt']|['always', 'great', 'really', 'interesting', 'often', 'also']
462|['sometimes', 'little', 'awkward', 'potentially', 'anthropological', 'also']|['great', 'really', 'well', 'difficult', 'extremely', 'little']
465|['always', 'give', 'early', 'long', 'selfdriven', 'well']|['never', 'track', 'grad', 'weight', 'great', 'perspective']
469|['low', 'reliant', 'clear', '[', 'less']|['really', 'good', 'especially', 'rather', 'knowledgeable', 'possibly']
470|['short']|['well', 'weekly', 'really', 'better', 'mostly', 'enormously']
472|['sometimes', 'little', 'didnt', 'easy', 'well', 'especially']|['easy', 'good', 'also', 'clear', 'knowledgeable', 'interesting']
473|['sometimes', 'new', 'lot', 'often', 'succinct', 'present']|['great', 'well', 'really', 'helpful', 'good', 'also']
474|['little', 'basically', 'grad', '[', 'lost']|['knowledgeable', 'much', 'well', 'sometimes', 'explain', 'nice']
475|['often', 'sometimes', 'little', 'uninterested', 'blackboard', 'appropriate']|['good', 'material', 'often', 'subject', 'really', 'well']
477|['often', 'really', 'essentially', 'little', 'nice', 'rather']|['sometimes', 'create', 'nice', 'motivate', 'wasnt', 'often']
478|['sure', 'somewhat', 'potential', 'large', 'also', 'ethnographic']|['really', 'also', 'always', 'well', 'available', 'great']
479|[]|['extremely', 'still', 'push', 'thought', 'available', 'encouraged']
480|['awkward', 'insight', 'stimulating', 'prior', 'many', 'flat']|"['really', 'sometimes', 'excellent', ""'Frequently"", 'better', 'momentum']"
481|['many', 'also', 'directly', 'hesitant']|['good', 'clear', 'knowledgeable', 'often', 'answer', 'sometimes']
482|['difficult', 'sometimes', 'follow', 'warm', 'appropriate', 'hard']|['knowledgeable', 'well', 'good', 'clear', 'subject', 'extremely']
483|['new', 'always', 'extremely', 'also', 'different', 'long']|['really', 'always', 'well', 'good', 'interesting', 'great']
484|['sometimes', 'difficult', 'awkward', 'often', 'long', 'clear']|['really', 'knowledgeable', 'nice', 'also', 'sometimes', 'clearly']
485|['didnt', 'end', 'final']|['good', 'different', 'willing', 'nice', 'Not', 'passionate']
486|['sometimes', 'appropriately', 'intuitive', 'understand', 'absolutely', 'microcredit']|['great', 'really', 'good', 'clearly', 'knowledgeable', 'well']
489|['sometimes', 'little', 'theoretical', 'bogged']|['always', 'also', 'understand', 'easy', 'even', 'friendly']
490|['lose', 'unclear', 'much', 'wide', '[', 'knowledgeable']|['great', 'really', 'well', 'interesting', 'also', 'knowledgeable']
492|[]|"['always', 'successfully', ""'Even"", 'small', '[', 'able']"
494|"[""'Went"", 'really', 'fruitful', 'incorrect', 'knew', 'lot']"|['well', 'sometimes', 'long', 'appropriately', 'adequate', 'mostly']
496|['[']|['really', 'great', 'good', 'interested', 'knowledgeable', 'often']
497|['hard', 'often', 'difficult', 'really', 'sometimes', 'always']|['really', 'knowledgeable', 'interesting', 'cultural', 'great', 'much']
498|['Indian', 'difficult', 'simply', 'somewhat', 'last', 'however']|['good', 'historical', 'knowledgeable', 'really', 'clearly', 'nice']
499|['sometimes', 'vague', 'nail', 'subject', 'process', 'often']|['clear', 'good', 'interesting', 'sometimes', 'knowledgeable', 'different']
500|['sometimes', 'nice', 'answer', 'prepared', 'slow', 'lot']|['current', 'great', 'good', 'really', 'partly', 'together']
501|['sometimes', 'hard', 'really', 'first', 'clear', 'clearly']|['really', 'great', 'knowledgeable', 'interesting', 'much', 'often']
502|['little', 'sometimes', 'understandable', 'didnt', 'disorganized', 'later']|['well', 'really', 'great', 'knowledgeable', 'helpful', 'also']
506|['werent', 'often', 'perhaps', 'simply', 'frustrated']|['really', 'texts', 'historical', 'brilliant', 'great', 'good']
507|['good', 'often', 'never', 'sure', 'able', 'werent']|['good', 'much', 'also', 'really', 'knowledgeable', 'great']
508|['mainly', 'hard', 'answer', 'much', 'early', 'else']|['helpful', 'well', 'really', 'sometimes', 'much', 'texts']
509|['difficult', 'sometimes', 'uncomfortable', 'regardless', 'much', 'modern']|['good', 'great', 'knowledgeable', 'well', 'interesting', 'clear']
511|['great', 'directly', 'stimulating']|['great', 'knowledgeable', 'nice', 'interested', 'smart', 'enthusiastic']
512|['really', 'sometimes', 'doesnt', 'discuss', 'easy', 'pretty']|['great', 'really', 'helpful', 'sometimes', 'productive', 'enthusiastic']
513|['awkward', 'fill', 'boring', 'sad', 'little', 'many']|['knowledgeable', 'first', 'better', 'much', 'brilliant', 'major']
515|['always', 'large', 'super', 'much', 'great', 'cant']|['clearly', 'good', 'knowledgeable', 'well', 'funny', 'clear']
517|['really', 'troubled', 'clearly', 'especially', 'often', 'assigned']|['clearly', 'often', 'topical', 'SO', 'MUCH', 'lot']
519|['uncomfortable', 'simple', 'absolutely', 'particular', 'answer', 'sometimes']|['really', 'best', 'also', 'always', 'ever', 'great']
520|[]|['knowledgeable', 'excellent', 'well', 'Sometimes', 'extremely', 'prior']
521|['disorganized', 'student', 'instigate', 'often', 'little', 'basically']|['enthusiastic', 'great', 'interesting', 'overall', 'clearly', 'accessible']
523|[]|['clearly', 'broad', 'texts', 'well', 'good', '[']
524|"['often', 'difficult', 'encouraging', ""'Spent"", 'promptly', 'astray']"|['familiar', 'really', 'many', 'good', 'nice', 'email']
525|['hard', 'really', 'often', 'also', 'difficult', 'unclear']|['knowledgeable', 'American', 'funny', 'good', 'great', 'Latin']
526|['many', 'lenient', '[', 'much', 'tiny']|['great', 'friendly', 'atmosphere', '[']
527|['sometimes', 'shy', 'always', 'clearly', 'effectively', 'lead']|['really', 'great', 'good', 'subject', 'sometimes', 'much']
529|['interesting', 'already', 'material', 'large', 'extensive', 'well']|['much', 'sometimes', 'inevitably', 'fully', 'important', 'useful']
531|['pretty', 'low', 'structural', 'still', 'high']|['really', 'great', 'helpful', 'good', 'clear', 'always']
532|['hard', 'extremely', 'quickly', 'knowledgeable', 'much', 'sometimes']|['knowledgeable', 'good', 'great', 'really', 'extremely', 'also']
533|['really', 'often', 'however', 'clear', 'critical', 'much']|['really', 'good', 'interesting', 'great', 'clearly', 'well']
536|['Asian', 'failure', 'overall', 'disinterest', 'precisely', 'often']|['clearly', 'good', 'Asian', 'interesting', 'nice', 'rather']
537|[]|['larger', 'clearly', 'also', 'small', 'less', 'key']
538|['inclass', 'almost', 'midterm', 'occasionally', 'due', 'sometimes']|['sometimes', 'well', 'knowledgeable', 'much', 'good', 'phenomena']
541|[]|['good', 'great', 'well', 'sometimes', 'available', 'quickly']
542|['facilitate']|['Sometimes', 'reasonable', 'well', 'friendly', 'direct', 'historical']
545|['difficult', 'incredible', 'main', 'really', 'tough', 'much']|['great', 'really', 'interesting', 'also', 'knowledgeable', 'helpful']
546|[]|['helpful', 'available', 'always', 'fair', 'lot', 'awesome']
547|['sometimes', 'harsh', 'already', 'good', 'prepared', 'much']|['good', 'sometimes', 'also', 'theoretical', 'clearly', 'helpful']
548|['many', 'long', 'negative']|['knowledgeable', 'extremely', 'much', 'well', 'able', 'good']
549|['[']|['great', 'really', 'also', 'always', 'helpful', 'excellent']
550|['sometimes', 'repetitive', 'inaccessible', '[']|['often', 'clear', 'well', 'really', 'sometimes', 'repetitive']
552|['great', 'experience', 'weekly', 'leading', 'feedback', 'helpful']|['knowledgeable', 'great', 'good', 'much', 'clear', 'together']
554|['understand', 'sometimes', 'easy', 'bit', 'difficult', '[']|['great', 'pretty', 'always', 'well', 'open', 'tangent']
557|['follow', 'unnecessary', 'prepared', 'little', 'long', 'thoroughly']|['knowledgeable', 'good', 'also', 'great', 'interesting', 'first']
576|[]|['clearly', 'wonderful', 'bit', 'unorganized', 'first', 'fantastic']
581|['narrative', 'infinite', '[', 'almost']|['clear', 'much', 'knowledgeable', 'sometimes', 'excellent', 'bit']
592|['often', 'difficult', 'disorganized', 'much', 'last', 'ahead']|['never', 'significantly', 'knowledgeable', 'also', 'often', 'syllabus']
612|['lower', 'limited', 'steadily', '[', 'previous']|['historical', 'good', 'also', 'understanding', 'assess', 'important']
617|['didnt', 'threw', 'used', 'odd', 'paper/give', 'discussed']|['easy', 'Spanish', 'lecture', 'always', 'un', 'little']
619|"[""'Sadly"", 'African', 'incompetent', 'technical', 'easy', 'well']"|['nice', 'easy', 'also', 'even', 'never', 'approachable']
621|['sometimes', 'whole', 'awkwardly', 'cohesive', 'topic', 'art']|['interesting', 'really', 'insightful', 'knowledgeable', 'sometimes', 'prepared']
623|['many', 'sometimes', 'also', 'fairly', 'tricky', 'difficult']|['really', 'great', 'also', 'knowledgeable', 'well', 'clearly']
624|[]|['helpful', 'great', 'enthusiasm', 'new', 'excellent', 'African']
625|['really', 'sometimes', 'first', 'little', 'difficult', 'often']|['really', 'knowledgeable', 'good', 'great', 'clear', 'extremely']
626|[]|['sometimes', 'much', 'huge', 'little', 'pretty', 'emerged']
627|['chronological', 'obvious', 'several', 'entire', 'rougly', 'single']|['knowledgeable', 'well', 'clear', 'always', 'great', 'interesting']
628|[]|['really', 'enthusiastic', 'always', 'extremely', 'subject', 'great']
629|['sometimes', 'didnt', 'either', 'doesnt', 'lightly', 'mean']|"['really', ""'Hillary"", 'also', 'great', 'helpful', 'well']"
631|['much', 'always', 'sometimes', 'badly', 'nice', 'prejudiced']|['knowledgeable', 'good', 'enthusiastic', 'really', 'interesting', 'sometimes']
633|['really', 'difficult', 'often', 'hard', 'knowledgeable', 'subject']|['knowledgeable', 'well', 'really', 'good', 'great', 'clearly']
634|['wasnt', 'idiot', 'wrong', '[', 'exactly']|['fantastic', 'interesting', 'understanding', 'absolutely', 'literal', 'clearly']
635|['little', 'weak', 'broad', 'good', 'frequently', 'much']|['good', 'hard', 'knowledgeable', 'interesting', 'great', 'well']
636|[]|['also', 'great', 'follow', 'excellent', 'African', 'smart']
638|['bit', 'almost', 'sometimes', 'never', 'little', 'good']|['enthusiastic', 'great', 'knowledgeable', 'really', 'much', 'always']
639|['sometimes', 'rude', 'ask', 'uncomfortable', 'frustrated', 'high']|['good', 'enthusiastic', 'well', 'really', 'knowledgeable', 'great']
641|['instead', 'essay', 'really', 'never', 'knew', 'biggest']|['great', 'also', 'well', 'interesting', 'excellent', 'nice']
642|['late', 'due', 'clear', 'often', 'really', 'awkward']|"['good', ""'Emily"", 'great', 'really', 'Emily', 'art']"
644|['often', 'difficult', 'unclear', 'well', 'sometimes', 'harsher']|['really', 'clearly', 'knowledgeable', 'great', 'helpful', 'subject']
645|['concrete', 'strong', 'bad']|['good', 'always', 'subject', 'art', 'really', 'knowledgeable']
646|[]|['always', 'well', 'clear', 'interesting', 'sometimes', 'extremely']
647|[]|['good', 'Very', 'knowledgeable', 'great', 'sometimes', 'difficult']
648|[]|"['sometimes', 'better', 'detailed', ""'Christian"", 'wish', 'weekly']"
649|['sometimes', 'didnt', 'either', 'doesnt', 'lightly', 'mean']|"['really', ""'Hillary"", 'also', 'great', 'helpful', 'well']"
650|['difficult', 'often', 'really', 'boring', 'hard', 'sometimes']|['knowledgeable', 'really', 'also', 'clearly', 'great', 'much']
651|[]|['great', 'really', 'sometimes', 'clearly', 'strong', 'clear']
652|['coudl', 'extremely', 'perhaps', 'clearer', 'abrasive', 'end']|['really', 'great', 'helpful', 'always', 'able', 'extremely']
653|['real', 'really', 'negative', 'much', 'enthusiastic', 'great']|['really', 'great', 'also', 'knowledgable', 'nice', 'different']
654|['often', 'individually', 'nice', 'full', 'leading', 'student']|['really', 'clearly', 'super', 'hard', 'helpful', 'great']
656|['boring', 'wonderful']|['well', 'really', 'great', 'interesting', 'important', 'easy']
657|['interesting', 'clearly', 'exactly', 'bad', 'important', 'art']|['really', 'knowledgeable', 'great', 'enthusiastic', 'interesting', 'subject']
658|['understanding', 'narrow', 'much', 'intelligent', 'hard', 'really']|['good', 'helpful', 'great', 'well', 'much', 'knowledgeable']
659|['sometimes', 'critical', 'little', 'able', 'good', 'interesting']|['well', 'knowledgeable', 'good', 'great', 'helpful', 'enthusiastic']
662|['much', 'Sometimes', 'little', 'well', 'perhaps', 'frequent']|['knowledgeable', 'good', 'clear', 'enthusiastic', 'open', 'interesting']
664|[]|['knowledgeable', 'Very', 'little', 'focused', 'extremely', 'nice']
665|['always', 'midterm', '[', 'clear']|['knowledgeable', 'always', 'still', 'interesting', 'clearly', 'Chinese']
666|['hard', 'difficult', 'often', 'little', 'clear', 'sometimes']|['really', 'great', 'interesting', 'knowledgeable', 'good', 'funny']
667|['huge', 'sometimes', 'understand', 'seriously', 'art', 'poor']|['knowledgeable', 'interested', 'subject', 'much', 'good', 'interesting']
669|['little', 'always', 'good', 'arbitrary', 'unable', 'long']|['good', 'well', 'really', 'better', 'much', 'also']
670|['maybe', 'follow', 'really', 'nice', 'discussion', 'much']|['available', 'important', 'really', 'learning', 'comfortable', 'great']
671|['middle', 'quietly', 'closer', 'often', 'fully', 'bit']|['clearly', 'able', 'follow', 'perhaps', 'easy', 'extremely']
673|[]|['clearly', 'knowledgeable']
674|['Sometimes', 'little', 'always', 'stay', 'long', 'clear']|['Good', 'nonjudgmental', 'art', 'subject', 'well', 'independent']
675|['good', 'sometimes', 'also', 'really', 'difficult', 'especially']|['really', 'knowledgeable', 'well', 'great', 'interesting', 'good']
677|['sometimes', 'little', 'often', 'hard', 'boring', 'real']|['well', 'really', 'Japanese', 'good', 'knowledgeable', 'clear']
678|['ridiculous', 'sometimes', 'great', 'rarely', 'unclear', 'large']|['really', 'clearly', 'also', 'knowledgeable', 'great', 'subject']
679|['really', 'sometimes', 'especially', 'hard', 'difficult', 'good']|['good', 'art', 'knowledgeable', 'well', 'really', 'great']
680|['possible', 'norm', 'awkward', 'better', 'odd', 'much']|['really', 'also', 'incredibly', 'clear', 'knowledgeable', 'well']
681|['new', 'aimlessly', 'extremely', 'finish', 'boring', 'pretentious']|['great', 'sometimes', 'subject', 'energetic', 'nearly', 'important']
